ground,matches,total_runs,total_wickets,balls,rpo,country
Harare Sports Club,121,51718,1736,64676,4.8,Zimbabwe
"Shere Bangla National Stadium, Mirpur",119,50286,1792,63849,4.73,Bangladesh
"R Premadasa Stadium, Colombo",82,35303,1240,42892,4.94,Sri Lanka
"Queens Sports Club, Bulawayo",60,26310,874,31362,5.03,Zimbabwe
Dubai International Cricket Stadium,58,23816,874,31659,4.51,United Arab Emirates
Sharjah Cricket Stadium,54,22788,811,28417,4.81,United Arab Emirates
"Sheikh Zayed Stadium, Abu Dhabi",50,23003,789,28966,4.76,United Arab Emirates
Pallekele International Cricket Stadium,44,19446,605,21741,5.37,Sri Lanka
Sydney Cricket Ground,42,19685,600,21849,5.41,Australia
Rangiri Dambulla International Stadium,40,16069,573,20035,4.81,Sri Lanka
"Kennington Oval, London",39,18898,538,20742,5.47,England
"SuperSport Park, Centurion",39,17808,536,20039,5.33,South Africa
Melbourne Cricket Ground,35,16959,520,19873,5.12,Australia
"Tribhuvan University International Cricket Ground, Kirtipur",34,13943,520,17675,4.73,Nepal
"Civil Service Cricket Club, Stormont, Belfast",32,11592,435,15338,4.53,Ireland
"Lord's, London",32,14986,506,17942,5.01,England
"Kensington Oval, Bridgetown, Barbados",31,12643,452,15398,4.93,West Indies
Adelaide Oval,31,14628,458,17591,4.99,Australia
"Eden Park, Auckland",29,12876,433,14686,5.26,New Zealand
"Queen's Park Oval, Port of Spain, Trinidad",28,11726,377,14103,4.99,West Indies
"Edgbaston, Birmingham",28,12325,368,13837,5.34,England
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),27,9802,428,13599,4.32,Oman
"Seddon Park, Hamilton",27,12605,353,13510,5.6,New Zealand
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,11203,341,12160,5.53,Sri Lanka
"Sabina Park, Kingston, Jamaica",26,11445,377,14567,4.71,West Indies
"Western Australia Cricket Association Ground, Perth",26,12066,405,14465,5.0,Australia
"Brisbane Cricket Ground, Woolloongabba, Brisbane",26,11583,373,13593,5.11,Australia
"National Stadium, Karachi",26,13402,370,14525,5.54,Pakistan
"Sophia Gardens, Cardiff",26,10927,342,12230,5.36,England
"Providence Stadium, Guyana",25,10019,365,13288,4.52,West Indies
"New Wanderers Stadium, Johannesburg",25,11965,354,13342,5.38,South Africa
"The Rose Bowl, Southampton",25,12108,337,13197,5.5,England
"Gaddafi Stadium, Lahore",24,12517,341,13477,5.57,Pakistan
"Sir Vivian Richards Stadium, North Sound, Antigua",24,11194,341,13328,5.04,West Indies
"Trent Bridge, Nottingham",24,12376,323,12536,5.92,England
"Kingsmead, Durban",23,9739,316,11387,5.13,South Africa
"Old Trafford, Manchester",23,10528,360,11988,5.27,England
"Westpac Stadium, Wellington",22,9625,319,11422,5.06,New Zealand
"Gymkhana Club Ground, Nairobi",22,8214,347,11159,4.42,Kenya
"ICC Academy, Dubai",22,10208,337,12553,4.88,United Arab Emirates
"McLean Park, Napier",22,10954,309,12128,5.42,New Zealand
"Mannofield Park, Aberdeen",21,8823,313,11569,4.58,Scotland
"Warner Park, Basseterre, St Kitts",21,10622,307,11658,5.47,West Indies
"Beausejour Stadium, Gros Islet, St Lucia",21,8860,272,10888,4.88,West Indies
"St George's Park, Port Elizabeth",20,8910,274,10846,4.93,South Africa
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",20,9132,278,10093,5.43,Scotland
"Newlands, Cape Town",20,9593,314,11291,5.1,South Africa
"Clontarf Cricket Club Ground, Dublin",20,7410,280,9760,4.56,Ireland
"MA Chidambaram Stadium, Chepauk, Chennai",19,8906,291,10312,5.18,India
"VRA Ground, Amstelveen",19,8911,286,10933,4.89,Netherlands
"United Cricket Club Ground, Windhoek",19,8346,284,10005,5.01,Namibia
"Headingley, Leeds",19,9815,259,10732,5.49,England
"The Village, Malahide, Dublin",18,8453,236,9127,5.56,Ireland
"Eden Gardens, Kolkata",17,7835,259,8971,5.24,India
"Wanderers Cricket Ground, Windhoek",17,7112,278,9462,4.51,Namibia
"Bellerive Oval, Hobart",16,7935,244,8913,5.34,Australia
"Hagley Oval, Christchurch",16,7234,232,8135,5.34,New Zealand
"Riverside Ground, Chester-le-Street",16,7624,221,8633,5.3,England
"Hazelaarweg, Rotterdam",15,5781,227,8199,4.23,Netherlands
"National Cricket Stadium, St George's, Grenada",15,6828,205,8162,5.02,West Indies
"Punjab Cricket Association Stadium, Mohali, Chandigarh",15,7458,233,8647,5.17,India
"Wankhede Stadium, Mumbai",15,7887,214,8270,5.72,India
"Willowmoore Park, Benoni",14,6085,198,7306,5.0,South Africa
"Zahur Ahmed Chowdhury Stadium, Chattogram",14,6504,201,7688,5.08,Bangladesh
"County Ground, Bristol",13,5468,176,6028,5.44,England
"Feroz Shah Kotla, Delhi",13,5294,200,6862,4.63,India
"Maple Leaf North-West Ground, King City",13,4931,193,6608,4.48,Canada
"Sardar Patel Stadium, Motera, Ahmedabad",13,6145,178,7321,5.04,India
"University Oval, Dunedin",12,5358,197,6214,5.17,New Zealand
"Moosa Cricket Stadium, Pearland",12,5402,182,6920,4.68,United States of America
"Saxton Oval, Nelson",12,5932,148,6309,5.64,New Zealand
"Zahur Ahmed Chowdhury Stadium, Chittagong",12,4439,176,6103,4.36,Bangladesh
"Maharashtra Cricket Association Stadium, Pune",12,6770,175,6939,5.85,India
"M Chinnaswamy Stadium, Bangalore",12,6358,166,6447,5.92,India
"Sawai Mansingh Stadium, Jaipur",11,5338,144,6199,5.17,India
"Bay Oval, Mount Maunganui",11,5742,160,6308,5.46,New Zealand
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",10,5417,148,5786,5.62,India
"Manuka Oval, Canberra",10,5339,144,5247,6.11,Australia
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,5579,155,5918,5.66,India
"Kinrara Academy Oval, Kuala Lumpur",10,4041,161,5246,4.62,Malaysia
"Senwes Park, Potchefstroom",10,4920,137,5640,5.23,South Africa
"Narendra Modi Stadium, Ahmedabad",9,4247,145,4832,5.27,India
"Takashinga Sports Club, Highfield, Harare",9,4392,133,5068,5.2,Zimbabwe
Multan Cricket Stadium,9,4104,135,4854,5.07,Pakistan
"Boland Park, Paarl",9,4461,141,5216,5.13,South Africa
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,3979,135,4923,4.85,India
"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,4339,142,4833,5.39,India
Bulawayo Athletic Club,8,3700,122,4405,5.04,Zimbabwe
"Amini Park, Port Moresby",8,3148,137,4599,4.11,Papua New Guinea
"Barabati Stadium, Cuttack",8,4354,115,4672,5.59,India
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8,4025,103,4162,5.8,India
"Arnos Vale Ground, Kingstown, St Vincent",8,2847,141,4196,4.07,West Indies
Rawalpindi Cricket Stadium,8,4098,118,4706,5.22,Pakistan
"Sinhalese Sports Club Ground, Colombo",8,3156,105,3919,4.83,Sri Lanka
"ICC Global Cricket Academy, Dubai",7,2728,97,3554,4.61,United Arab Emirates
Sylhet International Cricket Stadium,7,3095,91,3254,5.71,Bangladesh
Queenstown Events Centre,7,1940,69,2473,4.71,New Zealand
"Mangaung Oval, Bloemfontein",7,3827,113,3869,5.93,South Africa
"Basin Reserve, Wellington",6,2785,87,3206,5.21,New Zealand
"Cambusdoon New Ground, Ayr",6,1951,90,2900,4.04,Scotland
"Buffalo Park, East London",6,2802,86,3164,5.31,South Africa
"Arun Jaitley Stadium, Delhi",6,3052,92,2962,6.18,India
"Brabourne Stadium, Mumbai",6,1985,86,2761,4.31,India
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",6,2308,102,3193,4.34,United States of America
"Docklands Stadium, Melbourne",6,2880,95,3465,4.99,Australia
"Khan Shaheb Osman Ali Stadium, Fatullah",6,3184,89,3621,5.28,Bangladesh
"JSCA International Stadium Complex, Ranchi",6,2863,78,3159,5.44,India
"Forthill, Dundee",6,2223,82,2855,4.67,Scotland
"Titwood, Glasgow",6,2280,80,2857,4.79,Scotland
"Nehru Stadium, Kochi",6,2862,96,3401,5.05,India
"The Wanderers Stadium, Johannesburg",6,2968,95,3062,5.82,South Africa
"Green Park, Kanpur",6,3282,77,3548,5.55,India
"Grand Prairie Stadium, Dallas",6,2291,76,2668,5.15,United States of America
"M Chinnaswamy Stadium, Bengaluru",6,3167,79,3056,6.22,India
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),5,1898,77,2633,4.33,Oman
"Jade Stadium, Christchurch",5,2445,75,2762,5.31,New Zealand
"Holkar Cricket Stadium, Indore",5,3038,79,2831,6.44,India
"Greater Noida Sports Complex Ground, Greater Noida",5,2629,79,2992,5.27,India
"AMI Stadium, Christchurch",5,2528,74,2662,5.7,New Zealand
"Rajiv Gandhi International Cricket Stadium, Dehradun",5,1867,68,2563,4.37,India
"Old Hararians, Harare",5,2093,73,2518,4.99,Zimbabwe
"Sportpark Westvliet, The Hague",5,2161,71,2856,4.54,Netherlands
"Sedgars Park, Potchefstroom",5,2586,66,2900,5.35,South Africa
